                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    2050                                     1664                  4.0000000000000000E+001                  2.0000000000000000E-002                  4.8864423132664477E+006                  7.0464142786791956E+002                  3.7017555983368070E+003                  5.8316939985489973E+005                  1.8566713712855758E+003                 -4.3124984916928000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.4868312414318108E-002                  3.3738699144579326E-001                  6.0262690178052622E-009                  5.9321758517077339E-001                  2.0337836170849777E-002                  4.0000000000000000E+001                  0.0000000000000000E+000                  1.2251132454329337E+001                  1.9565289313223689E-004                  1.6655044642805063E+001                  3.7445806106253685E+000                  2.4952180896567341E-001                  6.6507332074705490E+000                  2.8446847589574265E-001                  1.4648311376593686E+001                  1.1015709096286473E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2659880960975946E+008                  3.4799349228240516E+001                  6.8590704536199139E+005                  5.8279049117451103E+005                  1.8538484882023369E+005                  3.3614652535593581E+004                  1.3036698925210714E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.5420439194513725E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20250823"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  4.0000000000000000E+001                  3.2687350409140894E+000                  3.5684077418830271E+000                 -9.1725456534264342E+000                  2.2010053499837392E+000                  6.9999999999999563E-001                  2.8000000000000458E-001                  1.9999999999999796E-002                  9.8560673163227008E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  3.9999999999960004E+001                  3.2687350409121918E+000                  3.5684077419806317E+000                 -9.1725456527433415E+000                  2.2010053507634137E+000                  6.9999999999999563E-001                  2.8000000000000458E-001                  1.9999999999999796E-002                  9.8560673318254518E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  3.9999999999810974E+001                  3.2687350409051219E+000                  3.5684077423533611E+000                 -9.1725456501347757E+000                  2.2010053537408014E+000                  6.9999999999999563E-001                  2.8000000000000458E-001                  1.9999999999999796E-002                  9.8560673910268636E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  3.9999999999238156E+001                  3.2687350408779450E+000                  3.5684077435028110E+000                 -9.1725456420902809E+000                  2.2010053629226967E+000                  6.9999999999999563E-001                  2.8000000000000463E-001                  1.9999999999999796E-002                  9.8560675735967123E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  3.9999999997584879E+001                  3.2687350407995117E+000                  3.5684077469944464E+000                 -9.1725456176538724E+000                  2.2010053908141436E+000                  6.9999999999999551E-001                  2.8000000000000458E-001                  1.9999999999999907E-002                  9.8560681281810878E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  3.9999999992476035E+001                  3.2687350405571434E+000                  3.5684077623124324E+000                 -9.1725455104500924E+000                  2.2010055131753465E+000                  6.9999999999999563E-001                  2.8000000000000458E-001                  1.9999999999999796E-002                  9.8560705611716557E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  3.9999999967919130E+001                  3.2687350393921371E+000                  3.5684078000014265E+000                 -9.1725452466818354E+000                  2.2010058142375426E+000                  6.9999999999999551E-001                  2.8000000000000469E-001                  1.9999999999999796E-002                  9.8560765473967464E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  3.9999999919485248E+001                  3.2687350370943808E+000                  3.5684078721042529E+000                 -9.1725447420676751E+000                  2.2010063901987569E+000                  6.9999999999999563E-001                  2.8000000000000458E-001                  1.9999999999999796E-002                  9.8560879996337951E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  3.9999999828280515E+001                  3.2687350327675375E+000                  3.5684079967645932E+000                 -9.1725438696310526E+000                  2.2010073859890529E+000                  6.9999999999999563E-001                  2.8000000000000452E-001                  1.9999999999999796E-002                  9.8561077996466554E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
